epoch,train_loss,test_accuracy
1,0.8654353680180461,92.58
2,0.19600881876817136,96.13
3,0.1292404917591035,96.91
4,0.09977376777361006,97.68
5,0.083450143618672,97.44
6,0.07258504280931692,97.78
7,0.06476599096269933,98.16
8,0.05831483319731377,98.4
9,0.05356808324212403,98.47
10,0.04961341163014441,98.45
