epoch,train_loss,val_loss,val_accuracy
1,0.2772358629918879,0.33923514606431127,90.6
2,0.17641064828323527,0.2466019870043965,91.2
3,0.1483566889481981,0.32183791489899116,91.9
4,0.11451613539785711,0.243630471835786,91.6
5,0.1001788616473941,0.26850678133121164,92.2
6,0.07344568999052728,0.3769778149642762,91.7
7,0.05006827653913085,0.42750797978149535,92.2
8,0.039059197577116546,0.31935720609759244,92.1
9,0.06090888907567714,0.5327365993522228,91.9
10,0.02880179627722945,0.4079503907225597,91.4
