epoch,train_loss,test_accuracy
1,1.0057645040639913,76.33
2,0.6434776727789423,79.51
3,0.5058688959839706,81.23
4,0.41203275768614245,81.34
5,0.336814467502628,81.26
6,0.27832052800911633,82.73
7,0.22809371530237446,82.44
8,0.1893226481915731,82.14
9,0.1653181635110293,82.35
10,0.13949505220478972,81.95
