epoch,train_loss,test_accuracy
1,1.3579312853910797,66.12
2,0.9754978934122978,72.12
3,0.8296918759381092,64.37
4,0.7436306334254991,74.12
5,0.5902285320268407,77.86
6,0.5600258715341127,77.43
7,0.545871311041955,71.28
8,0.517939113933767,72.23
9,0.5344285982889162,76.78
10,0.4499155228632197,78.44
