epoch,avg_loss_D,avg_loss_G
1,1.8516462743282318,2.4890524546305337
2,0.5470355575283369,4.1375089685122175
3,0.4925447727243106,4.183808545271556
4,0.38101865351200104,4.438410818576813
5,0.35647236928343773,4.095707297325134
6,1.0091886445879936,3.8888014356295266
7,0.41162238270044327,3.949003001054128
8,0.2903291458884875,3.595918297767639
9,0.20482345297932625,3.6068220933278403
10,0.15759666574498019,3.6260189016660056
11,0.1462481307486693,3.7317291696866355
12,0.21541165187954903,4.146730005741119
13,0.18902012705802917,4.117469032605489
14,0.8119398877024651,4.849024415016174
15,1.1779442528883617,3.8741244773070016
16,1.2184918771187465,2.8145741472641626
17,0.9804799060026804,2.4041625261306763
18,1.0103717943032582,2.3410464773575463
19,1.097885936498642,2.574740841984749
20,0.8852458794911703,2.890673657258352
21,0.9191406344374021,2.50376691420873
22,1.2279747774203618,2.9697783639033637
23,1.095197543501854,2.488631804784139
24,0.9566505054632822,2.1841889321804047
25,0.5776669383049011,2.499357839425405
26,1.074571614464124,2.4827001144488654
27,1.1543625891208649,2.3482110798358917
28,0.8974536508321762,2.060696303844452
29,0.8722766488790512,1.9744881292184193
30,0.9029770294825236,1.9346677263577778
31,0.8882301847139994,2.1192371050516763
32,1.0767939686775208,2.2681520183881125
33,0.8756944189469019,2.25836248199145
34,1.0821857800086339,2.305482402443886
35,0.9390730013449987,2.2154529293378196
36,0.7850884372989336,2.1847172379493713
37,0.7981376027067503,2.012652099132538
38,0.813338982562224,2.2719411849975586
39,0.8862269769112269,2.0512285033861795
40,0.641919473807017,2.024840702613195
41,1.3586697379748027,2.1134226669867835
42,1.044345811009407,2.0397243102391562
43,0.9912120848894119,1.9412997762362163
44,0.9542297869920731,1.9066601544618607
45,1.344602366288503,2.240632548928261
46,1.1632549266020458,1.8288472592830658
47,1.0874619483947754,1.6339862545331318
48,1.0212417095899582,1.8787194142738979
49,1.0392447859048843,1.9841812153657277
50,1.0630821039279301,1.9618749221165974
51,1.1794213751951854,1.8639333645502727
52,1.0006884063283603,1.7822572439908981
53,1.1149780650933583,2.1235833863417306
54,1.2706637283166249,1.9030328889687855
55,1.2254921694596608,2.259073868393898
56,1.223803276817004,1.903100699186325
57,1.1490134249130886,1.9800668160120647
58,1.183704398572445,1.9886136849721272
59,1.066089744369189,1.8108969231446583
60,1.1789729197820027,1.872652068734169
61,1.191526119907697,2.094816749294599
62,1.3126791020234425,1.9935719668865204
63,1.0222237408161163,2.170265853404999
64,1.2236382116874058,2.2360944698254266
65,1.026473194360733,2.204224576552709
66,1.0128331730763118,2.325388898452123
67,0.9336234107613564,2.0322159628073373
68,0.8433848470449448,1.879253884156545
69,1.263557679951191,1.9591923554738362
70,1.3547290563583374,1.9028082291285198
71,1.2494510114192963,1.788828452428182
72,1.122521072626114,1.9039885501066844
73,1.2628578841686249,1.5935898224512737
74,1.3553651968638103,1.8716462701559067
75,1.148706093430519,1.902861883242925
76,1.0930790801843007,1.925325999657313
77,1.081360936164856,2.139442950487137
78,1.0498757511377335,1.9540588061014812
79,1.107981915275256,1.906473269065221
80,0.9558384418487549,1.980248103539149
81,1.0727532158295314,1.7059602439403534
82,1.0694556931654613,2.3654971222082772
83,1.3678955684105556,2.3259119788805642
84,1.1479316751162212,1.9952562550703685
85,1.354954441388448,1.8161330719788868
86,1.3023648460706074,1.9161813259124756
87,1.2898933837811153,2.03146197895209
88,0.9604065467913946,1.8896734118461609
89,1.1131044576565425,1.7629164258639018
90,0.9772717133164406,1.9296692609786987
91,1.0938373406728108,1.9260660608609517
92,0.9701710095008215,2.0744178096453347
93,0.8664548446734747,1.9195558826128643
94,0.9254234880208969,1.9177504181861877
95,1.3407409836848576,2.105680465698242
96,1.091031511624654,1.8726670642693837
97,0.9766034881273905,1.9421940247217815
98,1.191571573416392,1.8422042628129323
99,1.1339754263559978,1.8434139589468639
100,1.3042236765225728,2.3829846531152725
