epoch,train_loss,test_accuracy
1,0.693319183536546,83.95
2,0.37700844839720565,85.18
3,0.24622145378562935,86.05
4,0.16518989643105858,86.3
5,0.11158275456222576,86.91
6,0.08488140479954685,87.5
7,0.058197304209541875,87.8
8,0.04738708927321761,86.1
9,0.044404099014367905,88.52
10,0.032868348126753946,87.69
