epoch,train_loss,test_accuracy
1,0.7331663569005269,81.95
2,0.40662012064754394,86.33
3,0.28802612417938234,86.01
4,0.20578042502078256,86.99
5,0.14268559714649956,87.72
6,0.11207542014701538,87.89
7,0.08132464997794375,87.33
8,0.06346301098713127,88.9
9,0.05013176739130643,88.14
10,0.044097765692716326,88.44
