epoch,train_loss,test_accuracy
1,1.023942973490945,75.44
2,0.6635918628688966,79.28
3,0.523048071690042,80.33
4,0.4245497263248197,81.3
5,0.35686410493762616,81.34
6,0.2871473880695633,80.83
7,0.2443479276521421,81.82
8,0.20118061794648548,82.25
9,0.17301844983818682,81.86
10,0.15094423268594548,81.29
